,,中远海运集运亚欧快航三线  (AEU3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,COSCO SHIPPING LINES ASIA--EUROPE EXPRESS SERVICE LOOP 3 (AEU3),,,,,,,,,,,,,,,,,,,,,,,,,2026. 3. 23,,,,
WEEK,VESSEL NAME,"VSL
CODE",S/O,"COS
VOYAGE        ( IRIS4 )",,"COMMON
VOYAGE",,TSN07,,DLC01,,TAO06,,SHA08,,NGB07,,SIN02,,RTM06,,,HAM01,,ANR07,,SHA08,,TSN07,,
,,,,,,,,天津,,大连,,青岛,,上海,,宁波,,新加坡,,鹿特丹,,,汉堡,,安特卫普,,上海,,天津,,
,,,,,,,,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,ETA,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,
,,,,,,,,FRI,SUN,MON,TUE,WED,FRI,SAT,SUN,MON,TUE,SUN,MON,TUE,TUE,FRI,SAT,TUE,WED,THU,TUE,WED,FRI,SUN,
26.0,OOCL PORTUGAL,MTA,COS,007W,007E,007W,007E,46192.0,46194.0,46195.0,46196.0,46197.0,46199.0,46200.0,46201.0,46202.0,46203.0,46208.0,46209.0,46238.0,46238.0,46242.0,46242.0,46245.0,46246.0,46248.0,46287.0,46288.0,46290.0,46292.0,
27.0,CSCL ATLANTIC OCEAN,QIP,COS,066W,066E,066W,066E,46199.0,46201.0,46202.0,46203.0,46204.0,46206.0,46207.0,46208.0,46209.0,46210.0,46215.0,46216.0,46245.0,46245.0,46249.0,46249.0,46252.0,46253.0,46255.0,46294.0,46295.0,46297.0,46299.0,
28.0,OOCL DENMARK,MSZ,COS,008W,008E,008W,008E,46206.0,46208.0,46209.0,46210.0,46211.0,46213.0,46214.0,46215.0,46216.0,46217.0,46222.0,46223.0,46252.0,46252.0,46256.0,46256.0,46259.0,46260.0,46262.0,46301.0,46302.0,46304.0,46306.0,
29.0,COSCO SHIPPING CAPRICORN,CNG,COS,041W,041E,041W,041E,46213.0,46215.0,46216.0,46217.0,46218.0,46220.0,46221.0,46222.0,46223.0,46224.0,46229.0,46230.0,46259.0,46259.0,46263.0,46263.0,46266.0,46267.0,46269.0,46308.0,46309.0,46311.0,46313.0,
30.0,COSCO SHIPPING VIRGO,CSD,COS,036W,036E,036W,036E,46220.0,46222.0,46223.0,46224.0,46225.0,46227.0,46228.0,46229.0,46230.0,46231.0,46236.0,46237.0,46266.0,46266.0,46270.0,46270.0,46273.0,46274.0,46276.0,46315.0,46316.0,46318.0,46320.0,
31.0,COSCO SHIPPING GALAXY,CSH,COS,030W,030E,030W,030E,46227.0,46229.0,46230.0,46231.0,46232.0,46234.0,46235.0,46236.0,46237.0,46238.0,46243.0,46244.0,46273.0,46273.0,46277.0,46277.0,46280.0,46281.0,46283.0,46322.0,46323.0,46325.0,46327.0,
32.0,COSCO SHIPPING LIBRA,CSB,COS,036W,036E,036W,036E,46234.0,46236.0,46237.0,46238.0,46239.0,46241.0,46242.0,46243.0,46244.0,46245.0,46250.0,46251.0,46280.0,46280.0,46284.0,46284.0,46287.0,46288.0,46290.0,46329.0,46330.0,46332.0,46334.0,
33.0,COSCO SHIPPING SOLAR,CSI,COS,037W,037E,037W,037E,46241.0,46243.0,46244.0,46245.0,46246.0,46248.0,46249.0,46250.0,46251.0,46252.0,46257.0,46258.0,46287.0,46287.0,46291.0,46291.0,46294.0,46295.0,46297.0,46336.0,46337.0,46339.0,46341.0,
34.0,COSCO SHIPPING UNIVERSE,CSF,COS,036W,036E,036W,036E,46248.0,46250.0,46251.0,46252.0,46253.0,46255.0,46256.0,46257.0,46258.0,46259.0,46264.0,46265.0,46294.0,46294.0,46298.0,46298.0,46301.0,46302.0,46304.0,46343.0,46344.0,46346.0,46348.0,
35.0,COSCO SHIPPING STAR,CSJ,COS,030W,030E,030W,030E,46255.0,46257.0,46258.0,46259.0,46260.0,46262.0,46263.0,46264.0,46265.0,46266.0,46271.0,46272.0,46301.0,46301.0,46305.0,46305.0,46308.0,46309.0,46311.0,46350.0,46351.0,46353.0,46355.0,
36.0,COSCO SHIPPING ARIES,CNE,COS,038W,038E,038W,038E,46262.0,46264.0,46265.0,46266.0,46267.0,46269.0,46270.0,46271.0,46272.0,46273.0,46278.0,46279.0,46308.0,46308.0,46312.0,46312.0,46315.0,46316.0,46318.0,46357.0,46358.0,46360.0,46362.0,
